BioSample,Sample,Run,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,INH,RIF,RFB,EMB,STM,ETH,CIP,CYS,CAP,KAN,OFX,PAS,PZA,AMI,MXF,PRO,CFZ,LEV,CLAR,GATI,AMOXCLAV,LZD,Platform,TaxID,ScientificName,LoadDate,ReleaseDate,Combined_Runs,Num_Runs,TDR_Sample
SAMEA3558124,ERS865273,ERR1213839,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,>120,,4-8,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:27:02,2016-01-20 05:34:31,"ERR1227527,ERR1213839,ERR1034591",3,nan
SAMEA3558124,ERS865273,ERR1034591,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.2-0.8,>120,,4-8,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:47:33,2015-10-27 04:36:28,"ERR1227527,ERR1213839,ERR1034591",3,nan
SAMEA3558125,ERS865274,ERR1034592,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:47:29,2015-10-27 04:36:28,"ERR1034592,ERR1213840,ERR1227528",3,nan
SAMEA3558125,ERS865274,ERR1213840,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:32:44,2016-01-20 05:34:31,"ERR1034592,ERR1213840,ERR1227528",3,nan
SAMEA3558125,ERS865274,ERR1227528,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:49:58,2016-03-28 08:27:18,"ERR1034592,ERR1213840,ERR1227528",3,nan
SAMEA3558126,ERS865275,ERR1034593,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,10-20,,1-2,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:46:40,2015-10-27 04:36:28,"ERR1034593,ERR1227529,ERR1213841",3,nan
SAMEA3558126,ERS865275,ERR1227529,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,10-20,,1-2,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-03-28 08:47:05,2016-03-28 08:27:18,"ERR1034593,ERR1227529,ERR1213841",3,nan
SAMEA3558126,ERS865275,ERR1213841,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,10-20,,1-2,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:26:53,2016-01-20 05:34:31,"ERR1034593,ERR1227529,ERR1213841",3,nan
SAMEA3558127,ERS865276,ERR1034594,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,2-4,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:46:34,2015-10-27 04:36:28,"ERR1034594,ERR1213842,ERR1227530",3,nan
SAMEA3558127,ERS865276,ERR1213842,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,<10,,2-4,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:15:46,2016-01-20 05:34:31,"ERR1034594,ERR1213842,ERR1227530",3,nan
