name,drug_code,range,plate,Medium
SAMEA104362073,LFX,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362073,LZD,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362073,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362073,MXF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362073,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362074,AMK,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362074,BDQ,"[0.03,0.03]",UKMYC5,UKMYC5
SAMEA104362074,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362074,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362074,EMB,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362074,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362074,INH,"[0,0.025]",UKMYC5,UKMYC5
SAMEA104362074,KAN,"[4.0,4.0]",UKMYC5,UKMYC5
SAMEA104362074,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362074,MXF,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362074,RIF,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362075,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362075,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362075,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362075,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362075,EMB,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362075,ETO,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362075,INH,"[0.05,0.05]",UKMYC5,UKMYC5
SAMEA104362075,KAN,"[2.0,2.0]",UKMYC5,UKMYC5
SAMEA104362075,LFX,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362075,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362075,MB,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362075,MXF,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362075,RIF,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362076,AMK,"[0,0.25]",UKMYC5,UKMYC5
SAMEA104362076,BDQ,"[0.06,0.06]",UKMYC5,UKMYC5
SAMEA104362076,CFZ,"[0,0.06]",UKMYC5,UKMYC5
SAMEA104362076,DLM,"[0,0.015]",UKMYC5,UKMYC5
SAMEA104362076,EMB,"[4.0,4.0]",UKMYC5,UKMYC5
SAMEA104362076,ETO,"[1.0,1.0]",UKMYC5,UKMYC5
SAMEA104362076,INH,"(1.6,)",UKMYC5,UKMYC5
SAMEA104362076,KAN,"[0,1]",UKMYC5,UKMYC5
SAMEA104362076,LFX,"[0.25,0.25]",UKMYC5,UKMYC5
SAMEA104362076,LZD,"[0.5,0.5]",UKMYC5,UKMYC5
SAMEA104362076,MB,"[0.12,0.12]",UKMYC5,UKMYC5
SAMEA104362076,MXF,"[0.12,0.12]",UKMYC5,UKMYC5
