ID,ROLLINGDB_ID,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,MEDIA,RIF,INH,RFB,BDQ,EMB,STR,KAN,AMI,CAP,OFX,LEV,MXF,ETH,PAS,CYS,LIN,CFZ,AMI_PHENOTYPE_QUALITY,CYS_PHENOTYPE_QUALITY,EMB_PHENOTYPE_QUALITY,ETH_PHENOTYPE_QUALITY,INH_PHENOTYPE_QUALITY,KAN_PHENOTYPE_QUALITY,MXF_PHENOTYPE_QUALITY,OFX_PHENOTYPE_QUALITY,PAS_PHENOTYPE_QUALITY,RFB_PHENOTYPE_QUALITY,RIF_PHENOTYPE_QUALITY,STR_PHENOTYPE_QUALITY
C252,C252,,CASS,Not specified,MYCOTB,8.0,4.0,4.0,,6.0,32.0,40.0,12.8,,6.0,,1.0,5.0,0.25,32.0,,,,,,,,,,,,,,
C253,C253,,CASS,Not specified,MYCOTB,8.0,4.0,2.0,,4.0,32.0,40.0,12.8,,8.0,,0.25,2.5,0.25,32.0,,,,,,,,,,,,,,
C255,C255,,CASS,Not specified,MYCOTB,0.06,0.12,0.12,,1.0,0.25,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C256,C256,,CASS,Not specified,MYCOTB,8.0,4.0,8.0,,8.0,16.0,40.0,12.8,,32.0,,2.0,5.0,1.0,16.0,,,,,,,,,,,,,,
C257,C257,,CASS,Not specified,MYCOTB,8.0,4.0,4.0,,8.0,4.0,40.0,12.8,,16.0,,2.0,10.0,0.25,16.0,,,,,,,,,,,,,,
C259,C259,,CASS,Not specified,MYCOTB,8.0,4.0,1.0,,1.5,16.0,10.0,12.8,,16.0,,2.0,2.5,0.25,16.0,,,,,,,,,,,,,,
C260,C260,,CASS,Not specified,MYCOTB,8.0,4.0,4.0,,8.0,4.0,40.0,12.8,,32.0,,2.0,5.0,0.25,16.0,,,,,,,,,,,,,,
C261,C261,,CASS,Not specified,MYCOTB,0.06,4.0,0.12,,2.0,0.25,1.2,0.2,,0.5,,0.062,1.2,0.25,16.0,,,,,,,,,,,,,,
C263,C263,,CASS,Not specified,MYCOTB,0.25,0.06,0.12,,1.0,0.25,1.2,0.2,,0.5,,0.125,2.5,0.25,16.0,,,,,,,,,,,,,,
C265,C265,,CASS,Not specified,MYCOTB,8.0,2.0,4.0,,2.0,32.0,1.2,0.2,,2.0,,0.125,5.0,0.25,16.0,,,,,,,,,,,,,,
C266,C266,,CASS,Not specified,MYCOTB,8.0,4.0,2.0,,16.0,8.0,40.0,12.8,,8.0,,2.0,10.0,8.0,32.0,,,,,,,,,,,,,,
C267,C267,,CASS,Not specified,MYCOTB,8.0,0.25,4.0,,1.0,32.0,0.6,0.2,,0.5,,0.062,2.5,0.25,16.0,,,,,,,,,,,,,,
C268,C268,,CASS,Not specified,MYCOTB,8.0,0.25,4.0,,1.0,32.0,0.6,0.096,,0.25,,0.062,2.5,0.25,16.0,,,,,,,,,,,,,,
C269,C269,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.5,1.2,0.2,,0.5,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C270,C270,,CASS,Not specified,MYCOTB,8.0,0.03,1.0,,1.0,0.25,0.6,0.096,,0.5,,0.062,0.6,0.25,8.0,,,,,,,,,,,,,,
C272,C272,,CASS,Not specified,MYCOTB,0.125,0.06,0.12,,0.5,0.5,5.0,0.4,,0.5,,0.062,1.2,1.0,16.0,,,,,,,,,,,,,,
C273,C273,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,0.5,0.5,1.2,0.2,,1.0,,0.125,1.2,0.25,16.0,,,,,,,,,,,,,,
C274,C274,,CASS,Not specified,MYCOTB,0.06,0.03,0.12,,1.0,0.25,1.2,0.2,,0.5,,0.125,0.6,0.25,16.0,,,,,,,,,,,,,,
C276,C276,,CASS,Not specified,MYCOTB,8.0,4.0,16.0,,2.0,32.0,40.0,12.8,,8.0,,2.0,5.0,2.0,16.0,,,,,,,,,,,,,,
C277,C277,,CASS,Not specified,MYCOTB,8.0,4.0,4.0,,4.0,32.0,40.0,12.8,,8.0,,0.5,5.0,0.25,16.0,,,,,,,,,,,,,,
C278,C278,,CASS,Not specified,MYCOTB,0.06,0.06,0.12,,1.0,1.0,2.5,0.4,,1.0,,0.125,2.5,0.25,16.0,,,,,,,,,,,,,,
C279,C279,,CASS,Not specified,MYCOTB,8.0,2.0,8.0,,1.0,0.25,1.2,0.2,,0.5,,0.062,0.6,0.25,16.0,,,,,,,,,,,,,,
C281,C281,,CASS,Not specified,MYCOTB,0.125,0.06,0.12,,2.0,0.5,5.0,0.4,,1.0,,0.062,1.2,1.0,16.0,,,,,,,,,,,,,,
