ROLLINGDB_ID,DB_OF_ORIGIN,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage
SAMN37124207,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.008155583437892,4
SAMN37124208,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0199647135295756,4
SAMN37124210,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0318360226777147,4
SAMN37124209,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.007121176745272,4
SAMN37124211,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0075564371398885,4
SAMN37124214,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0070684252714421,4
SAMN37124212,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0062788410621075,4
SAMN37124215,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0094036129670873,4
SAMN37124213,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0075076249315711,4
SAMN37124216,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0052507836990595,4
SAMN37124217,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0086506657620218,4
SAMN37124218,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.008861990705717,4
SAMN37124220,MICML,4.8,4.2.1.1.1.1.1.1.i1,,,4.10/PGG3,0.0205052387992543,4
YA00086625,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing,mungi",,,0.0221883693204397,1
YA00086626,MICML,1.2.2,1.2.2.1,"indo_oceanic,beijing",,,0.0259674987435081,1
SAMN37124221,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0062999529854254,4
SAMN37124222,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0073254597099715,4
SAMN37124223,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0058977719528178,4
SAMN37124224,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0053886925795053,4
SAMN37124225,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0053488372093023,4
SAMN37124231,MICML,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.015040825096691,4
SAMN37124226,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0072364136334032,4
SAMN37124227,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.021443979190458,4
SAMN37124228,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.01861504095309,4
SAMN37124230,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0081094779523568,4
SAMN37124229,MICML,4.4.1.1,4.2.1.2.2.1.1,stype,,4,0.0202077218333709,4
SAMN37124232,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0147797388434495,2
SAMN37124252,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0109861019192587,2
SAMN37124251,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0099827570559941,2
SAMN37124253,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0097884836362088,2
SAMN37124254,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0089871611982881,2
SAMN37124255,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0088199758356826,2
SAMN37124257,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0104571805973435,2
SAMN37124260,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0086576937068024,2
SAMN37124259,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0094805258271025,2
SAMN37124261,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0268248417511398,4
SAMN37124262,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0299803296479685,4
SAMN37124263,MICML,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0069357480011559,4
SAMN37124264,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0261454183266932,2
SAMN37124265,MICML,2.2.2,2.2.2,"beijing,ethiopian","asia_ancestral_1,lin2.2",,0.0243974380583178,2
SAMN37124266,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0290783929737107,2
SAMN37124267,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0098070610839804,2
SAMN37124268,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0107735039138119,2
SAMN37124270,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0254742962056303,2
SAMN37124271,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0086970189133965,2
SAMN37124272,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0111961975178241,2
SAMN37124273,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0113927463934205,2
SAMN37124274,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0093781733468729,2
SAMN37124275,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0195294962736823,2
SAMN37124276,MICML,2.2.2,2.2.2,"beijing,ethiopian","asia_ancestral_1,lin2.2",,0.0182852991038992,2
SAMN37124277,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0138812534359538,2
SAMN37124278,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0268679333255624,2
SAMN37124280,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0254649499284692,2
SAMN37124279,MICML,2.2.2,2.2.2,"beijing,ethiopian,mungi","asia_ancestral_1,lin2.2",,0.0245093564582382,2
SAMN37124281,MICML,2.2.2,2.2.2,beijing,"asia_ancestral_1,lin2.2",,0.0086679205168043,2
SAMN37124282,MICML,2.2.2,2.2.2,"beijing,mungi","asia_ancestral_1,lin2.2",,0.0096325365679628,2
