pid,Original_ID,SampleID,F2,Coll2014,Freschi2020,Lineage
T0425,S0425-06,MFS-807,0.0111662531017369,2.2.1.1,2.2.1.1.1,2.0
T0426,S0426-07,MFS-808,0.0051682521652704,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0426,S0426-01,MFS-695,0.0039638909785313,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0427,S0427-05,MFS-809,0.0108428940911201,2.2.1.1,2.2.1.1.1,2.0
T0427,S0427-02,MFS-696,0.1086368977673325,2.2.1,2.2.1.1.1.i2,2.0
T0428,S0428-01,MFS-810,,,,
T0428,S0428-08,MFS-811,0.010995311814901,2.2.1.1,2.2.1.1.1,2.0
T0430,S0430-02,MFS-812,0.0089412580142089,2.2.1,2.2.1.1.1,2.0
T0431,S0431-06,MFS-813,0.0036092817798607,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0431,S0431-01,MFS-698,0.0036216559162525,4.3.4.2.1,4.2.1.2.1.1.i3.1,4.0
T0432,S0432-07,MFS-814,,,,
T0432,S0432-01,MFS-699,0.0092970765262252,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0434,S0434-01,MFS-815,,,,
T0434,S0434-08,MFS-816,,,,
T0435,S0435-06,MFS-817,,,,
T0435,S0435-01,MFS-700,0.009888266162139,2.2.1.1,2.2.1.1.1,2.0
T0436,S0436-08,MFS-818,0.0250571357766335,4.1.2,4.1.i1.1.1.1,4.0
T0436,S0436-01,MFS-701,0.0253793307962239,4.1.2,4.1.i1.1.1.1,4.0
T0437,S0437-05,MFS-819,,,,
T0437,S0437-01,MFS-702,0.0094779599819467,4.3.2.1,4.2.1.2.1.1.i1,4.0
T0439,S0439-07,MFS-820,,,,
T0439,S0439-01,MFS-703,0.0106988614055751,2.2.1,2.2.1.1.1,2.0
T0440,S0440-07,MFS-821,,,,
T0440,S0440-01,MFS-704,0.0104057308713641,2.2.1,2.2.1.1.1.i2,2.0
T0441,S0441-08,MFS-822,,,,
T0441,S0441-01,MFS-705,0.1548809017439387,2.2.1.1,2.2.1.1.1,2.0
T0444,S0444-08,MFS-823,,,,
