Drug,Model,Num_Loci,Binned_MAE,Binned_MSE,MAE,MSE,Within_doubling,Spearman,Spearman_pval,Sensitivity,Specificity,Precision,Accuracy,Balanced_Acc,F1,CV,Addl_Data,Binned_MAE_exp,Binned_MSE_exp,Without_doubling
Moxifloxacin,CNN,1,0.4427644384176826,0.8640702832237149,0.927891417684498,1.6244676795446031,0.8408488063660478,0.6310297050486949,6.596559434471535e-210,0.8653295128939829,0.96484375,0.848314606741573,0.946419098143236,0.9150866314469914,0.8567375886524823,4,"+ Lineage
 AF = 25%",1.3592062941515017,1.8201663183498051,0.15915119363395225
Moxifloxacin,LinReg,1,0.5510136903317878,0.9250168369901596,0.94774060272063,1.799109381270655,0.8201591511936339,0.5459526524095561,6.541829115540269e-147,0.8567335243553008,0.9622395833333334,0.8375350140056023,0.9427055702917772,0.9094865538443172,0.8470254957507082,0,– Lineage,1.4651147776273432,1.8987064006480598,0.17984084880636608
Moxifloxacin,LinReg,1,0.543257560717594,0.9107560318057788,0.9643117745611504,1.7569940868521956,0.8217506631299735,0.5561879676676689,1.5243066816251965e-153,0.8452722063037249,0.9635416666666666,0.8404558404558404,0.9416445623342176,0.9044069364851958,0.8428571428571429,1,– Lineage,1.4572592515059533,1.8800304539573474,0.17824933687002653
Moxifloxacin,LinReg,1,0.5573497242587925,0.9325441559806736,0.9511463110347942,1.8087089389252609,0.8185676392572945,0.5462261863293502,4.379455733323174e-147,0.8567335243553008,0.9622395833333334,0.8375350140056023,0.9427055702917772,0.9094865538443172,0.8470254957507082,2,– Lineage,1.4715634248774812,1.9086388661043376,0.18143236074270552
Moxifloxacin,LinReg,1,0.5491570509989656,0.9308098101037476,0.9595934281313572,1.7829269327990904,0.8228116710875332,0.5537945372875129,5.685212912821072e-152,0.8567335243553008,0.962890625,0.8398876404494382,0.943236074270557,0.9098120746776504,0.8482269503546098,3,– Lineage,1.463230498512456,1.9063457612295753,0.17718832891246683
Moxifloxacin,LinReg,1,0.5485486216941041,0.9366485547514724,0.970966413180077,1.7887367534100251,0.8217506631299735,0.5546623734261841,1.535850911502317e-152,0.8481375358166189,0.962890625,0.8385269121813032,0.9416445623342176,0.9055140804083096,0.8433048433048433,4,– Lineage,1.462613538872005,1.9140765842527796,0.17824933687002653
Moxifloxacin,LinReg,1,0.5543078610178462,0.9716815946726372,0.9561669614430796,1.8778779507721253,0.8217506631299735,0.5479257549279009,3.588710739601505e-148,0.8624641833810889,0.9609375,0.8337950138504155,0.9427055702917772,0.9117008416905444,0.847887323943662,0,"– Lineage
 AF = 25%",1.4684639625273264,1.9611251364518414,0.17824933687002653
Moxifloxacin,LinReg,1,0.5460997450941032,0.9416893367605308,0.9703700674283472,1.806053298018598,0.8228116710875332,0.555675483222767,3.316487191069445e-153,0.8567335243553008,0.9609375,0.8328690807799443,0.9416445623342176,0.9088355121776504,0.8446327683615819,1,"– Lineage
 AF = 25%",1.4601329578821796,1.920776072386206,0.17718832891246683
Moxifloxacin,LinReg,1,0.5601586844021798,0.9739131126738464,0.9585966043032064,1.874899299142387,0.8206896551724138,0.5456547012202462,1.012400014031433e-146,0.8681948424068768,0.9602864583333334,0.8324175824175825,0.943236074270557,0.914240650370105,0.8499298737727912,2,"– Lineage
 AF = 25%",1.4744313835072147,1.9641608939897042,0.17931034482758623
Moxifloxacin,LinReg,1,0.5524784963887956,0.9749490852884372,0.9681737782695778,1.8562330939149123,0.8249336870026526,0.553414650088462,1.0070027522761051e-151,0.8681948424068768,0.9615885416666666,0.8370165745856354,0.9442970822281168,0.9148916920367718,0.8523206751054851,3,"– Lineage
 AF = 25%",1.4666031024699373,1.9655718281069068,0.17506631299734743
Moxifloxacin,LinReg,1,0.5508967066704068,0.9741594754808016,0.978331899030705,1.8512207134254264,0.823342175066313,0.5547728162489136,1.2998497265101021e-152,0.8538681948424068,0.9615885416666666,0.834733893557423,0.9416445623342176,0.9077283682545368,0.8441926345609064,4,"– Lineage
 AF = 25%",1.4649959808356185,1.9644963339102859,0.17665782493368698
Moxifloxacin,LinReg,1,0.4759680373630278,0.8267024235710221,0.9206073109680504,1.6082913593681607,0.8519893899204244,0.6214804556951861,7.459157025211822e-202,0.8452722063037249,0.9654947916666666,0.8477011494252874,0.943236074270557,0.9053834989851958,0.8464849354375896,0,+ Lineage,1.390851157323152,1.773626736761032,0.1480106100795756
Moxifloxacin,LinReg,1,0.465821469695065,0.8194077802408046,0.9188483347089847,1.5802245545846445,0.8588859416445623,0.6302210860156653,3.2525815446471174e-209,0.839541547277937,0.966796875,0.8517441860465116,0.943236074270557,0.9031692111389684,0.8455988455988456,1,+ Lineage,1.3811035290764129,1.764681450163587,0.14111405835543767
Moxifloxacin,LinReg,1,0.4807968507425545,0.8245377052202106,0.9106656341923048,1.6109849259089022,0.8472148541114058,0.6275046407364965,6.682929761739847e-207,0.8452722063037249,0.9654947916666666,0.8477011494252874,0.943236074270557,0.9053834989851958,0.8464849354375896,2,+ Lineage,1.3955142446669488,1.770967461429123,0.15278514588859415
Moxifloxacin,LinReg,1,0.4759579279715377,0.8400269162867579,0.9135816127895358,1.6052684608812506,0.8546419098143236,0.6318594620030757,1.2768744412071606e-210,0.8424068767908309,0.9654947916666666,0.8472622478386167,0.9427055702917772,0.9039508342287488,0.8448275862068966,3,+ Lineage,1.3908414112512575,1.790083539040399,0.14535809018567636
Moxifloxacin,LinReg,1,0.4674402425912357,0.8434869681861572,0.9276286118730668,1.61511701918178,0.8546419098143236,0.6215189878105866,6.930327210062977e-202,0.8452722063037249,0.9661458333333334,0.8501440922190202,0.9437665782493369,0.9057090198185292,0.8477011494252874,4,+ Lineage,1.382654063072016,1.7943818939016871,0.14535809018567636
Moxifloxacin,LinReg,1,0.479016975377728,0.8660716626957258,0.9286479825398504,1.6754968233613077,0.8525198938992042,0.6228089105723535,5.875740823503598e-203,0.8624641833810889,0.96484375,0.847887323943662,0.9458885941644564,0.9136539666905444,0.8551136363636365,0,"+ Lineage
 AF = 25%",1.393793638573531,1.8226930972871451,0.14748010610079576
Moxifloxacin,LinReg,1,0.4684985744395883,0.8469007779984153,0.9247284420188944,1.6246190384531645,0.8594164456233422,0.6306964376656478,1.273930968000546e-209,0.8510028653295129,0.9654947916666666,0.8485714285714285,0.9442970822281168,0.9082488284980896,0.8497854077253219,1,"+ Lineage
 AF = 25%",1.38366872219685,1.7986329182520802,0.14058355437665782
Moxifloxacin,LinReg,1,0.4835066440762073,0.8604469821354002,0.917887588066988,1.66993916497732,0.8477453580901857,0.6287003274961382,6.453796616800052e-208,0.8595988538681948,0.96484375,0.847457627118644,0.9453580901856764,0.9122213019340976,0.8534850640113797,2,"+ Lineage
 AF = 25%",1.3981378821889914,1.8156007409252555,0.1522546419098143
Moxifloxacin,LinReg,1,0.4790919552368087,0.8805421983755374,0.9218898535025712,1.6736580741403793,0.8546419098143236,0.6331573059394784,9.689080110650983e-212,0.8595988538681948,0.96484375,0.847457627118644,0.9453580901856764,0.9122213019340976,0.8534850640113797,3,"+ Lineage
 AF = 25%",1.3938660788075385,1.841067087109733,0.14535809018567636
Moxifloxacin,LinReg,1,0.471211069777069,0.8806611766672701,0.9365723881749982,1.6788341781652607,0.8546419098143236,0.6233365943936062,2.134042427692682e-203,0.8510028653295129,0.9654947916666666,0.8485714285714285,0.9442970822281168,0.9082488284980896,0.8497854077253219,4,"+ Lineage
 AF = 25%",1.386272685864909,1.8412189251928863,0.14535809018567636
Pyrazinamide,CNN,4,1.034767726495173,13.671151912769757,2.17112518540363,48.44823827050031,0.7365853658536585,0.6704421299331147,4.038270727473098e-28,0.5660377358490566,0.9494949494949496,0.9230769230769232,0.751219512195122,0.757766342672003,0.7017543859649122,0,"– Lineage
– AA Properties",2.0487837658881354,13044.480894627526,0.2634146341463415
Pyrazinamide,CNN,4,0.8603339625628693,4.452046890235713,1.61590784150382,10.953761219917126,0.7658536585365854,0.6994789256518738,1.9145027937420808e-31,0.6981132075471698,0.9292929292929292,0.9135802469135802,0.8097560975609757,0.8137030684200495,0.7914438502673796,1,"– Lineage
– AA Properties",1.815458513790289,21.887676240513947,0.23414634146341462
Pyrazinamide,CNN,4,0.7982334017029958,4.737885464671791,1.584281987385826,13.743622775343155,0.775609756097561,0.6993399558883377,1.990285934675981e-31,0.7452830188679245,0.9292929292929292,0.9186046511627908,0.8341463414634146,0.8372879740804269,0.8229166666666665,2,"– Lineage
– AA Properties",1.7389704310728262,26.68367490562977,0.224390243902439
