covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
HIV_Low_CD4,1.1111628773108673,0.21447643138975536,0.007960281447573707,0.2227020555522482,0.47191318645726377,0.038352112207354336,2.3545917113538715,21257.33049059461,0.03693555563326632,366.94252321736855,360.71587156257647,0.01855210973547197,1.9600755885824648,0.18617736060581958,2.036148394015915,3.037889033417718,1.2046358963841386,7.661044973888719,0,measured,False,False,"RIF,INH,EMB",357,1.0
INH_midpoint,-0.07887907950605909,0.22396765857579715,0.00018304674230821256,0.2241568068761823,0.47345201116499896,0.0008445339902552927,-0.1666041703191109,40728364.82997627,0.000843821354439765,380.6940349890151,380.6904766189644,0.8676815129518072,1.9599640427862248,-1.0068279973742793,0.8490698383621611,0.9241516665649918,0.3653761173829282,2.3374716139965113,0,measured,False,False,"RIF,INH,EMB",357,
RIF_midpoint,0.22225129154728973,0.15572987698400986,2.04260205930225e-05,0.155750983871956,0.39465299171798507,0.00013553525087732832,0.5631562314523342,1579105646.0635254,0.00013551688356251652,380.9639100023334,380.96381809368495,0.5733285038978717,1.9599639860423417,-0.5512543592038276,0.995756942298407,1.2488851727230752,0.5762265617772914,2.706772436586092,0,measured,False,False,"RIF,INH,EMB",357,
bl_prevtb,0.5921373195554351,0.12803523458969238,9.125513687526818e-05,0.1281295315644635,0.35795185648975686,0.0007364923809707452,1.6542373194043756,53542784.719701916,0.000735950359138467,380.73513551497615,380.73242818076864,0.09807930881608885,1.9599640288461408,-0.10943544322318433,1.2937100823340546,1.8078482384841974,0.8963400273174604,3.646289526053781,0,measured,False,False,"RIF,INH,EMB",357,
diabetes,0.9726282740397824,0.3974368634365414,0.00011143673879548858,0.3975520147332967,0.6305172596632836,0.0002897348166439633,1.5425878659676928,345659302.5057399,0.00028965089469509803,380.90518254822643,380.90476280370586,0.12293080489104864,1.9599639914030869,-0.2631628508584035,2.208419398937968,2.644886819511165,0.7686167172264112,9.101319462927119,0,measured,False,False,"RIF,INH,EMB",357,
total_adherence,-0.9999112026266362,0.23597288258378332,0.00014748490162900304,0.23612528364879995,0.48592724110590874,0.0006458414346085964,-2.057738521411076,69615665.50486101,0.0006454245926637387,380.76962723913925,380.76754459416316,0.03961524415102581,1.9599640186167413,-1.9523111108599194,-0.04751129439335322,0.3679121093499356,0.1419456401015566,0.9535997027416596,0,measured,False,False,"RIF,INH,EMB",357,1.0
HIV_High_CD4,0.18972101546796147,0.21924429292868144,0.011402182197129303,0.23102654786571505,0.48065221092356897,0.0537403039305853,0.39471578650062633,11149.745238509637,0.05099957145999553,363.48183939518054,352.0064253625975,0.6930602008728007,1.9601767718589367,-0.7524422837270607,1.1318843146629836,1.2089122827791359,0.4712143072240234,3.1014951902966175,0,predicted,False,False,RIF,358,
HIV_Low_CD4,1.0773812850494937,0.21438805708923384,0.007464142132676901,0.22210100395966664,0.4712759318697133,0.03597656966135231,2.2860944346874508,24046.859265818908,0.03472720398793633,369.7144077715278,364.116212662699,0.02225739026702955,1.9600626414408753,0.15365093718143352,2.001111632917554,2.936978362710255,1.1660837792388548,7.397274584042847,0,predicted,False,False,RIF,358,1.0
RIF_pred_MIC,-2.1910743145342915,27.912132683424083,0.02107031814848676,27.93390534551085,5.285253574381351,0.0007800429416738757,-0.4145637070574728,47735145.16430075,0.0007794349489434585,382.71692827896265,382.71385986736874,0.6784613229744876,1.9599640342365885,-12.549981232142112,8.167832603073531,0.11179657938899071,3.544968683034291e-06,3525.6940979182205,0,predicted,False,False,RIF,358,
bl_prevtb,0.5510976116353831,0.12411131893833849,6.977239661307787e-05,0.12418341708150533,0.35239667575263156,0.000580915131541445,1.563855874798977,86035373.77723418,0.0005805778650745851,382.79309361719396,382.79139048167957,0.1178514226634407,1.959964012113262,-0.139587190828121,1.2417824140988871,1.7351565009983836,0.8697171885365033,3.461778291427417,0,predicted,False,False,RIF,358,
