covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,binarize_MICs,tb_deaths_only,include_drugs,num_pids,significant
bl_prevtb,0.5538486399363722,0.12505968725773053,6.210703907537696e-05,0.12512386453144178,0.3537285181200998,0.0005131731505050263,1.5657449472262412,110234051.23354337,0.0005129099388957576,382.8190114793317,382.81768203634226,0.1174083420476745,1.9599640060603665,-0.13944652349609554,1.24714380336884,1.739936537632634,0.8698395379381116,3.4803880749835883,0,predicted,False,False,PZA,358,
diabetes,0.8789523156086062,0.3915913386404704,9.131001404231156e-05,0.39168569232164746,0.6258479786031489,0.00024094935680812828,1.4044182383881296,499753352.269548,0.00024089131420091086,382.92319881906343,382.92290541420044,0.16019434360315452,1.9599639892869378,-0.3476871852215876,2.1055918164388,2.408375167116711,0.7063197889284641,8.211961545610748,0,predicted,False,False,PZA,358,
total_adherence,-0.9772731322845358,0.2296064163302885,0.00017899577364154608,0.2297913786297181,0.47936560017351904,0.0008055624158321849,-2.0386801471169105,44760922.39640382,0.0008049140073598789,382.70716940558316,382.7038972762926,0.04148196626975669,1.959964037538767,-1.9168124694578204,-0.03773379511125119,0.3763359192098571,0.14707502188090782,0.9629692538969005,0,predicted,False,False,PZA,358,1.0
EMB_pred_MIC,-1.077886225461974,3.2663725524713367,0.0006365211414408944,3.2670302909841586,1.8074928190684905,0.00020136665437156358,-0.5963432961340746,715480457.7318814,0.00020132611400554867,379.9390773547125,379.9388755971043,0.5509459130166017,1.9599639878556876,-4.620507059143971,2.4647346082200237,0.34031411321877675,0.009847801377257841,11.760360634744162,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
HIV_High_CD4,0.08874821294790115,0.2398936963389961,0.014326677795390244,0.25469793006089936,0.5046760644818609,0.06171164123038585,0.175851836839175,8583.74807476791,0.05812467230638073,357.9273031001108,343.59979187982935,0.8604144923782682,1.9602403906115302,-0.9005381928243116,1.078034618720114,1.0928054674161236,0.40635090573834126,2.9388978165181223,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
HIV_Low_CD4,1.1118926583149584,0.22367066716467152,0.007719667783805116,0.2316476572079368,0.4812978882230181,0.035663997181143305,2.3101964199762763,24455.45359902333,0.03443587618978076,366.9294148004622,361.50539103244483,0.020885564399583303,1.9600609930309754,0.1685194415808382,2.055265875049079,3.0401068362836146,1.1835512367282286,7.808913791993788,0,predicted,False,False,"RIF,INH,EMB,PZA",358,1.0
INH_pred_MIC,-1.1607401673611875,1.5116000549322066,0.0007198851946040277,1.512343936299964,1.229773937071348,0.0004921152029138141,-0.9438646668065177,119864830.27973066,0.0004918731446614212,379.8286649550576,379.8274613546585,0.3452388116792581,1.959964004331274,-3.571052817485783,1.2495724827634083,0.3132542344934954,0.028126226304064857,3.488851094607175,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
PZA_pred_MIC,-0.7179300430659764,1.8371892409641366,0.0013919146376341137,1.8386275527563587,1.3559600114886716,0.0007828871191663999,-0.5294625482928369,47389207.24290869,0.0007822746863907744,379.7183078434621,379.71526527646466,0.5964846206466721,1.9599640345993696,-3.375562897938721,1.939702811806768,0.48776085568621536,0.03419886242345981,6.956683219280022,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
RIF_pred_MIC,6.243195872702178,15.030409729637416,0.0005232885996498524,15.030950461190388,3.8769769745499376,3.597583583535207e-05,1.6103257547530123,22408225174.9712,3.597454162114845e-05,380.00191352912617,380.001907084999,0.1073267595894785,1.9599639846459198,-1.3555393667172009,13.841931112121557,514.5001633167699,0.2578082037802178,1026772.6712011433,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
bl_prevtb,0.5698436326820018,0.13068868404822578,0.00021468731804164093,0.13091052761020214,0.36181559890391973,0.001697496333305332,1.5749559565930267,10098421.289209604,0.0016946197225399737,379.37160251136123,379.35735103560427,0.11526664246466387,1.9599642194551403,-0.13930199521041342,1.2789892605744169,1.7679905738739885,0.8699652634405751,3.5930062965333427,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
diabetes,0.8765845154658528,0.39084262509344814,9.428286812192263e-05,0.3909400507238408,0.6252519897799933,0.00024927074003087437,1.401969973377127,466951611.67303765,0.0002492086196138411,379.9208812563605,379.9205721456197,0.16092421400970372,1.9599639896203902,-0.3488868689414303,2.102055899873136,2.402679361977436,0.705472936655695,8.1829760101623,0,predicted,False,False,"RIF,INH,EMB,PZA",358,
