covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,MIC_type,include_drugs,num_pids
intercept,-1.9436874131977055,0.030751825117321534,8.198356356179708e-06,0.03076029675222292,0.17538613614599907,0.000275483971083521,-11.082332138155408,382335459.1597939,0.00027540810056630836,382.90997835612075,382.90959487114395,1.528403366518134e-28,1.9599639907447393,-2.2874379245197183,-1.599936901875693,0.14317502970946136,0.10152624682501911,0.20190925768816614,predicted,INH,316
total_adherence,-1.382496623304942,0.8917978285817073,9.356102063558208e-05,0.8918945083030307,0.9444016668256313,0.00010840990886599467,-1.4638862592776405,2468051386.5896077,0.00010839815743162625,382.9739457469693,382.9738863199164,0.14322502850129568,1.9599639855012458,-3.233489878130526,0.468496631520642,0.25095123958972204,0.03941968854881816,1.5975906195612541,predicted,INH,316
EMB_pred_MIC,-0.7041221992553935,0.3326280601656135,4.070037399155285e-05,0.3326701172187381,0.5767756212070151,0.00012643868080060552,-1.220790500440849,1814462104.368307,0.0001264226960816897,382.9670420699364,382.96696123952165,0.22216535164043125,1.9599639858474778,-1.83458164473595,0.4263372462251628,0.49454249355001734,0.1596802908866117,1.5316372269157414,predicted,EMB,316
HIV_High_CD4,0.3273565670168637,0.2022572655411618,0.003161110646551802,0.20552374654259867,0.45334726925680124,0.016150129354794894,0.7220878765929671,114805.24801212907,0.01589344811189408,376.92802751569957,375.694549013974,0.4702419220856243,1.9599846481931242,-0.5611971210267415,1.2159102550604688,1.3872960530154776,0.5705256666040365,3.3733632882252977,predicted,EMB,316
HIV_Low_CD4,0.8266437861485795,0.2734913275032279,0.0048493649727046825,0.2785023379750227,0.5277332071937701,0.018322374305399854,1.566404719051642,89578.76444791704,0.017992705225491668,376.1239795784528,374.55131076092704,0.11725743117288044,1.9599904674096693,-0.2077082692867419,1.8609958415839007,2.2856347738723963,0.812444017015608,6.430136981899097,predicted,EMB,316
bl_prevtb,0.45888817465146303,0.11786505549306307,1.3121345673365512e-05,0.11787861421692555,0.3433345514464362,0.00011503599439000556,1.3365627569908425,2191948818.4205375,0.00011502276263212867,382.9714084207352,382.9713415090113,0.18136540277896848,1.9599639856223197,-0.21403518120334541,1.1318115305062715,1.5823137501022202,0.807319982034606,3.101269458799583,predicted,EMB,316
diabetes,1.1834523996258632,0.3535878814044354,1.6395558549191065e-05,0.35360482348160294,0.5946468056599673,4.7914756298219996e-05,1.9901770065213946,12632841520.339727,4.7912460584347434e-05,382.99711270420767,382.99710109266454,0.04657144030594636,1.9599639847278398,0.017966076898872307,2.3489387223528544,3.2656290200545266,1.0181284377300137,10.47444752687504,predicted,EMB,316
intercept,-1.933218852089026,0.031031585915406206,8.73624088274853e-06,0.031040613364318383,0.17618346507069949,0.0002909116194313369,-10.972759851858163,342869226.65931684,0.0002908270144735819,382.9040726736574,382.90364506058006,5.167127995379757e-28,1.9599639914589344,-2.27853209951806,-1.5879056046599922,0.14468173903644846,0.10243446000332723,0.20435316015656305,predicted,EMB,316
total_adherence,-1.4360017693092584,0.9343120413815819,7.568624879077392e-05,0.9343902505053323,0.9666386349124125,8.370771250557504e-05,-1.4855621505748888,4139422484.566789,8.370070611093139e-05,382.9834052527445,382.9833698187496,0.13739497278660456,1.959963985113146,-3.330578680356522,0.45857514173800507,0.23787694679042173,0.035772398292733515,1.581818511336082,predicted,EMB,316
HIV_High_CD4,0.2931870717802355,0.19704926792365687,0.0032310866629873627,0.20038805747541047,0.44764724669700634,0.016943932788662585,0.6549511338303429,104463.26052936289,0.01666161942890888,376.63380602234497,375.2807616994931,0.5125006587009134,1.959986693942743,-0.5841955753260014,1.1705697188864725,1.340693572907222,0.5575541918131262,3.223828791582617,predicted,PZA,316
HIV_Low_CD4,0.7866801359206069,0.27729955792957667,0.004882541921217134,0.2823448512481677,0.5313613189235435,0.018194379234720406,1.4804994415368813,90820.71215829559,0.017869259156974904,376.17126133165453,374.61962039233936,0.138743478527273,1.9599901052591269,-0.2547827914869777,1.8281430633281914,2.196093578546,0.7750848347027444,6.222321467017988,predicted,PZA,316
PZA_pred_MIC,0.025971494819531506,0.38146417002021776,0.0002892150008187552,0.3817630255210638,0.6178697480222379,0.0007834431758825675,0.04203393175125441,47322013.763832815,0.0007828298731605629,382.7156279704887,382.71253279224777,0.9664716485630469,1.9599640346704499,-1.1850309894149482,1.2369739790540113,1.026311692856454,0.30573670475029563,3.445172511276181,predicted,PZA,316
bl_prevtb,0.44822731405401833,0.11866822205543365,1.1447640329806178e-05,0.11868005128377444,0.3444997115873603,9.968320192135275e-05,1.3010963405127673,2919043845.1980667,9.967326617103486e-05,382.9772875152431,382.97723726879553,0.1932254803340007,1.9599639853527415,-0.22697971362161445,1.123434341729651,1.5655345232088638,0.7969369490906548,3.0753980552105187,predicted,PZA,316
diabetes,1.1848600127998736,0.33842777858086964,2.2879728231348724e-05,0.3384514209667087,0.5817657784424147,6.985947175553982e-05,2.036661585650754,5943032157.018371,6.985459175066042e-05,382.98870852865963,382.9886838475983,0.04168396663115791,1.9599639849392223,0.04462003938260972,2.3250999862171375,3.2702289992206994,1.0456304860152543,10.227702663967662,predicted,PZA,316
intercept,-1.9213118524097872,0.03070485782660487,8.22054310720483e-06,0.030713352387815647,0.17525225358840796,0.0002766520287684913,-10.963122088701473,379114628.86015004,0.0002765755135915485,382.9095312188793,382.9091444768497,5.748201720074409e-28,1.9599639907974522,-2.2647999587491703,-1.577823746070404,0.1464147615307618,0.1038508069083761,0.20642384043316295,predicted,PZA,316
total_adherence,-1.406268889686753,0.9253831532654241,7.677686495119668e-05,0.925462489359207,0.9620096098060597,8.573323763561923e-05,-1.461803370103814,3946153839.997949,8.572588807768512e-05,382.982629576734,382.9825924074582,0.14379510042141944,1.9599639851412143,-3.2917730782663823,0.4792352988928763,0.24505591017242503,0.03718785393036513,1.614839060702044,predicted,PZA,316
EMB_pred_MIC,-0.7970947468732636,0.6725452216667318,0.00040835326548360805,0.6729671867077316,0.8203457726518322,0.0006274151200628496,-0.9716570420014383,73762025.13873075,0.0006270217171568975,379.7773063912978,379.7753510482933,0.33122119775565184,1.9599640167011998,-2.404942942523798,0.8107534487772705,0.4506362766124833,0.09027064607808688,2.249602308412616,predicted,"RIF,INH,EMB,PZA",316
