covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,binarize_MICs,include_drugs,num_pids,significant
predicted_label,-0.46699043621228764,0.031243356449608236,0.006653167713294988,0.03811829642001306,0.1952390750336957,0.2200448591844884,-2.391890230640005,891.5118967292583,0.18035800694375484,312.29633990354426,231.2792800851545,0.01696816134996512,1.9626284923559727,-0.8501722076946445,-0.08380866472993082,1.595186147322373,1.0874208119480286,2.340049791810322,0,predicted,False,EMB,374,1.0
screen_sex,0.23248029877256116,0.026338545542277023,0.00959420592717823,0.03625255833369453,0.19040104604149244,0.37640699542441086,1.2210032644563242,387.77192994745303,0.2734707079197508,276.8189534840062,161.5168406829309,0.22282666247724303,1.9661004963158721,-0.14186729234867834,0.6068278898938007,0.7925653637034571,0.5450771744252806,1.1524237029457591,0,predicted,False,EMB,374,
screen_years,-1.150105777070298,0.06317019710539878,0.022519151949774725,0.08643998745349933,0.2940067813052946,0.36836659396954485,-3.9118341827498058,400.16808345976017,0.26920168585885795,278.4455172470623,164.19507193587302,0.00010760112773085801,1.9659098372873933,-1.72809660066758,-0.5721149534730161,3.15852699175199,1.7720108115190871,5.629927702909175,0,predicted,False,EMB,374,1.0
smear_pos_no_contam_sputum_specimen_1,-0.4373745000449982,0.026877389966253294,0.008660572523698827,0.03582664824074208,0.18927928634888203,0.33296604639532695,-2.3107362061732624,464.7680586492111,0.24979334417088134,285.8403971142491,176.98906191402415,0.021284326078866486,1.9650812811198335,-0.8093236825529071,-0.0654253175370893,1.5486359326980625,1.0676130023676818,2.2463882012722447,0,predicted,False,EMB,374,1.0
PZA_pred_MIC,0.4577437723819422,0.14833790320029058,0.03972472948480365,0.1893867903345877,0.43518592616787105,0.2767255451822828,1.0518349626163452,617.2976027638748,0.2167463055991205,298.4318324946273,201.1743291132273,0.29328684276836037,1.963814396853859,-0.3968806147347035,1.3123681594985879,0.6327095731064648,0.26918183545799623,1.4871783722681096,0,predicted,False,PZA,374,
RIF_AUC,0.555434981810775,0.07493755176244823,0.02087770829878283,0.09651118367119049,0.31066249157436193,0.28788813353724974,1.7879048706394056,580.3724027236466,0.22353504628274695,295.84521676969905,195.95634174785303,0.07431295572036876,1.9640598755051197,-0.054724752714876645,1.1655947163364266,0.573822604506741,0.31173721168047724,1.056249844758333,0,predicted,False,PZA,374,
cxr_cavity_chest_radiograph_1,-0.4003728278268671,0.02477170912483073,0.014876442424005184,0.04014403296296942,0.2003597588413637,0.6205596780050087,-1.9982696632404375,197.77024398257592,0.3829292351448291,235.11355318336706,107.41558145882736,0.04705727062188818,1.9720315652687723,-0.7954885966716754,-0.005257058982058915,1.4923809950965004,1.0052709015630872,2.2155232296708927,0,predicted,False,PZA,374,1.0
diabetes,0.37093886880269644,0.0621598452539085,0.019981956150737862,0.08280786660967096,0.2877635602533284,0.3321762026822959,1.28904044861047,466.42767235459263,0.24934854864804615,286.0098711223693,177.29434105799407,0.19802294387643657,1.9650630265681832,-0.19453466384474483,0.9364124014501377,0.69008612606051,0.39203176808187185,1.2147455899077766,0,predicted,False,PZA,374,
predicted_label,-0.47113148722333054,0.03121201695404153,0.006567879981001478,0.037998826267743056,0.19493287631321468,0.21744218977244692,-2.4168908607613466,909.0903917293979,0.17860576181698548,312.9639725338143,232.81496200824827,0.015849677672130313,1.9625769030098237,-0.8537022479129164,-0.08856072653374464,1.6018055907977424,1.0926006004431543,2.3483248587546397,0,predicted,False,PZA,374,1.0
screen_sex,0.23776211579751122,0.025907296149966612,0.009771292804753785,0.036004298714878855,0.1897479873803115,0.389735868477547,1.253041568872955,368.74129553109816,0.2804388066233779,274.16399956550924,157.24802573383997,0.21098456908085422,1.9664182236019745,-0.13536178447893082,0.6108860160739533,0.7883902143658685,0.5428696646795974,1.1449509349075626,0,predicted,False,PZA,374,
screen_years,-1.1359643698090638,0.06331235946691369,0.022459218468418193,0.08652021855094583,0.2941431939565249,0.3665612730190587,-3.8619434110617643,403.05383326257095,0.2682362512800013,278.8133628283618,164.80745121197006,0.00013101140069260255,1.9658671408292245,-1.7142108095067534,-0.5577179301113742,3.1141753119157274,1.7466818984463581,5.552291966826753,0,predicted,False,PZA,374,1.0
smear_pos_no_contam_sputum_specimen_1,-0.44043717601307925,0.027513606268413895,0.008688521955178573,0.036491745622098413,0.19102812782964296,0.3263163420344351,-2.3056142622402542,479.08722621283005,0.24603206014479087,287.27350479374434,179.58783769531692,0.02155846758196256,1.9649279528085968,-0.8157936841582385,-0.06508066786792,1.5533861732631562,1.0672451132996792,2.2609694560462112,0,predicted,False,PZA,374,1.0
