covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,tb_deaths_only,include_drugs,num_pids,significant
fstrom1_baseline,0.09346100674309461,1.0979677891664963,0.19711923038073714,0.19952199927276404,0.4208131745122585,1,0.6354040738668605,1.2208190662672096,0.535124062208063,2.785147030039653,0,measured,False,EMB,371,
EMB_AUC,-0.2387846841374398,0.7875844435412283,0.21587156752214393,-0.05136514762785767,0.04643629039477998,1,0.2686649085335032,0.9499317418740213,0.8672928334555177,1.040444794896479,0,measured,False,EMB,371,
Lineage_2,0.04706219028893677,1.0481871941171583,0.19432533564377702,0.09399778417817731,0.38812793981859295,1,0.8086387756402913,1.098557311707212,0.5133902512863296,2.350703317956656,0,measured,False,EMB,371,
smear_pos_no_contam_sputum_specimen_1,0.029306386246951553,1.0297400443354334,0.23747834462959483,0.06682640871595467,0.5415142210191958,1,0.9017851604470963,1.0691098739096274,0.369900228800161,3.090011396312393,0,measured,False,EMB,371,
screen_years,0.12283273112798733,1.1306952750055759,0.21012434506488376,0.009616552151534412,0.0164505967103996,1,0.5588357875290614,1.0096629397662429,0.9776280239310937,1.0427475757479552,0,measured,False,EMB,371,
F2,0.006262757013932489,1.006282409080593,0.18759817426572642,0.011286644157893112,0.33808653806898276,1,0.9733684555696666,1.0113505786348906,0.5213410764575958,1.9619209747581094,0,measured,False,"RIF,INH,EMB",371,
RIF_AUC,-0.24018337671631165,0.7864836250575987,0.29542347640818745,-0.024279454472132103,0.029863519047463104,1,0.4162101198129903,0.9760129204681076,0.9205252239346596,1.0348453210754187,0,measured,False,"RIF,INH,EMB",371,
TTP_baseline,-0.010798562954978438,0.9892595322231126,0.24489623237385563,-0.029949428338621107,0.6792109461655434,1,0.9648291223359668,0.9704946118323923,0.2563585007130852,3.673994772850653,0,measured,False,"RIF,INH,EMB",371,
RIF_midpoint,0.05429594903298591,1.055797018029727,0.19392884338677102,0.11944822689207092,0.426633236886734,1,0.7794938324453649,1.1268749007410526,0.48834285308666286,2.600318677531267,0,measured,False,"RIF,INH,EMB",371,
INH_midpoint,-0.08560429083316937,0.9179574035194407,0.1842471810154639,-0.22598674162604912,0.4863940777526558,1,0.6422060734629188,0.797728678180687,0.3074934120124487,2.0695436686823814,0,measured,False,"RIF,INH,EMB",371,
HIV_Low_CD4,0.2928029362321668,1.3401786637505884,0.149552344218331,1.000367522086303,0.5109487969385126,1,0.05024614160337956,2.719281040672832,0.9989268583715131,7.402433237421892,0,measured,False,"RIF,INH,EMB",371,
bl_bmi,-0.21689843249480803,0.8050117281857905,0.24286836469200276,-0.06497625077168442,0.0727560618452797,1,0.37181972699393706,0.9370897182708056,0.8125518823268418,1.0807151631649714,0,measured,False,"RIF,INH,EMB",371,
diabetes,0.2418549067631533,1.273609387301022,0.14838186255293026,1.1241366684700893,0.6896758675025981,1,0.10311222173627403,3.0775587481695905,0.7964402303264048,11.892126348958449,0,measured,False,"RIF,INH,EMB",371,
EMB_AUC,-0.38530319445561534,0.6802443586170611,0.3135864761858896,-0.08288285128583217,0.06745581569258763,1,0.21918491481421687,0.9204589714892183,0.8064657735322825,1.050565003501757,0,measured,False,"RIF,INH,EMB",371,
high_lung_involvement,-0.09544155766658095,0.9089714825158521,0.21408187070121798,-0.19099306504105293,0.4284103660356025,1,0.6557286974166838,0.8261383173666434,0.3567707169137301,1.9130059925473752,0,measured,False,"RIF,INH,EMB",371,
EMB_midpoint,0.058444353387257064,1.0601859882939837,0.21084015034196418,0.14401851187275508,0.5195520685134015,1,0.781628492614085,1.1549054877904619,0.4171602533089425,3.1973484413931637,0,measured,False,"RIF,INH,EMB",371,
HIV_High_CD4,0.09326158931288489,1.09774885708169,0.19732196337197777,0.2496407878807696,0.5281875503654456,1,0.6364724389310406,1.2835642620277974,0.45585167891381495,3.6141957811379557,0,measured,False,"RIF,INH,EMB",371,
fstrom1_baseline,0.06140416768838807,1.063328590409106,0.19884822735875468,0.13108656463057466,0.42450426393887775,1,0.7574743000780877,1.140066466473107,0.4961254286053492,2.6198043338157215,0,measured,False,"RIF,INH,EMB",371,
screen_sex,-0.059595439303145696,0.9421456115796203,0.21701948780797278,-0.12153953015006828,0.4425916964454229,1,0.7836168820095386,0.885556046493547,0.37194722054155605,2.1083892234480746,0,measured,False,"RIF,INH,EMB",371,
Lineage_2,0.0370497634990011,1.037744661358659,0.19889299981102432,0.0739998638365604,0.39725098122306907,1,0.8522252872630116,1.0768066588745113,0.49430736833063676,2.3457319370179874,0,measured,False,"RIF,INH,EMB",371,
smear_pos_no_contam_sputum_specimen_1,0.06799490441566788,1.0703598543559747,0.241627507473386,0.15504659069169077,0.5509754234237427,1,0.7784006859926595,1.167712364364524,0.3965927293221446,3.438167331560432,0,measured,False,"RIF,INH,EMB",371,
INH_AUC,0.29355208599454546,1.3411830344431417,0.29635659312816387,0.04443115480952869,0.04485563651673939,1,0.32191185316449655,1.0454330011988076,0.9574476076658173,1.1415038809904434,0,measured,False,"RIF,INH,EMB",371,
screen_years,0.112310821287783,1.1188605722880838,0.2133646731459049,0.008792793746239024,0.016704281405782243,1,0.598624454228037,1.0088315639065342,0.9763374579850324,1.042407126767952,0,measured,False,"RIF,INH,EMB",371,
F2,-0.002531741404657798,0.9974714607497001,0.17953274389530735,-0.004574315753875373,0.32437730695002787,1,0.9887487352695903,0.9954361304942172,0.5271120392822599,1.8798528890414754,0,predicted,False,RIF,373,
