covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,exclude_resistance,MIC_type,tb_deaths_only,include_drugs,num_pids,significant
EMB_AUC,-0.13134968089187601,0.876911081722733,0.24136351647321128,-0.02825472569254016,0.05191988213318361,1,0.586304834699424,0.9721407060452134,0.8780815353853203,1.0762753961514235,0,measured,True,EMB,371,
Lineage_2,0.048759009225707514,1.049967287818665,0.2070812454099733,0.09738685764094632,0.41360544619553447,1,0.813852998794224,1.1022867191880048,0.49004163567992454,2.479454647996212,0,measured,True,EMB,371,
diabetes,0.24297675715330203,1.2750389882383122,0.1717387032130508,1.1293510061776912,0.7982379859936122,1,0.15712570990326055,3.093648089973525,0.6471567786936739,14.78877888587647,0,measured,True,EMB,371,
screen_sex,0.10072340733259437,1.1059706960693079,0.22304215690177412,0.20541631617222236,0.4548743875450976,1,0.6515650224494824,1.2280362098910975,0.5035254102306996,2.9950284576755313,0,measured,True,EMB,371,
HIV_Low_CD4,0.37819169669513764,1.4596427247447255,0.1563307852814453,1.2921000566625014,0.53410748645568,1,0.015555708160173036,3.6404236296998995,1.277964553092267,10.370150073106576,0,measured,True,"RIF,INH,EMB",371,1.0
RIF_midpoint,-0.030398609752601724,0.9700587815811409,0.20988236039767635,-0.0668753396819042,0.46173013368261523,1,0.8848400262009029,0.9353117903349166,0.37838246895540284,2.3119679607635684,0,measured,True,"RIF,INH,EMB",371,
TTP_baseline,0.11181060592071786,1.1183010409909655,0.26366555322131924,0.31010271861928784,0.7312669865877128,1,0.6715204204329572,1.3635651704704774,0.32525225184812,5.716516837486514,0,measured,True,"RIF,INH,EMB",371,
RIF_AUC,-0.5429091511707081,0.5810554131698413,0.3577562048513377,-0.05488114206139351,0.03616455729186572,1,0.1291305433715802,0.9465976519129532,0.8818243681636865,1.0161287745688492,0,measured,True,"RIF,INH,EMB",371,
INH_midpoint,-0.0989267336685705,0.9058090709000369,0.19843735488786965,-0.26115665446066416,0.5238547134909,1,0.6181113849248907,0.7701602611241491,0.27585138290277433,2.150240544648188,0,measured,True,"RIF,INH,EMB",371,
smear_pos_no_contam_sputum_specimen_1,0.24514553542069625,1.2778072658912174,0.27167036385962867,0.558997469250207,0.6194811812795282,1,0.3668635788126279,1.7489182767601819,0.5193572263642428,5.88942443373383,0,measured,True,"RIF,INH,EMB",371,
fstrom1_baseline,0.024256821394370305,1.0245534113408696,0.21083579464890018,0.05178383658877831,0.45009550755474365,1,0.9084048772472021,1.0531480658281358,0.43588050346420676,2.5445525545251217,0,measured,True,"RIF,INH,EMB",371,
screen_years,-0.1453627950465944,0.8647085242279468,0.24193342356474673,-0.011380426752880979,0.01894092367355614,1,0.5479478895864996,0.98868408534667,0.9526535715659188,1.0260773168687412,0,measured,True,"RIF,INH,EMB",371,
INH_AUC,0.35956162570562583,1.43270121749241,0.3195883493754808,0.05442215885186835,0.048371924792547975,1,0.26055624181070103,1.0559302783893552,0.9604195376453468,1.160939265722385,0,measured,True,"RIF,INH,EMB",371,
diabetes,0.2381989431435052,1.2689616189283142,0.17776784436555038,1.1071438242130003,0.8262613109681352,1,0.1802635761165693,3.0257040984390393,0.5991168725643958,15.280633396494418,0,measured,True,"RIF,INH,EMB",371,
EMB_midpoint,0.13040566303884277,1.139290457624217,0.23258203549915316,0.3213454926293865,0.5731283982042937,1,0.5750111088922758,1.378981926693764,0.4484466635668182,4.240395366136356,0,measured,True,"RIF,INH,EMB",371,
HIV_High_CD4,0.17017514380862703,1.185512468307294,0.20077230326097914,0.45552147771772505,0.5374233523144881,1,0.396659277172269,1.5769955366812871,0.5500154351339731,4.521536603980825,0,measured,True,"RIF,INH,EMB",371,
F2,0.06560680001496043,1.0678067730032146,0.18472490520164725,0.11823556373967554,0.332908376849571,1,0.7224701238237418,1.1255092093007684,0.5861070276522515,2.161330474563836,0,measured,True,"RIF,INH,EMB",371,
high_lung_involvement,0.0575998946964787,1.0592910829308135,0.23421967188900478,0.11526614509535023,0.46870916737620033,1,0.8057422015372927,1.1221720584214263,0.4478096871972654,2.8120654034602377,0,measured,True,"RIF,INH,EMB",371,
EMB_AUC,-0.2179587943929764,0.8041585768261791,0.34435514045976906,-0.04688527528985572,0.07407448551409988,1,0.526767796410055,0.9541968612694864,0.8252502551491915,1.1032915704969248,0,measured,True,"RIF,INH,EMB",371,
Lineage_2,0.019591879507141884,1.019785059905052,0.21452723686046046,0.03913105722982242,0.42847739952066427,1,0.9272336886579781,1.0399067620193339,0.4490283674677801,2.4083246227670267,0,measured,True,"RIF,INH,EMB",371,
bl_bmi,-0.13936025216997583,0.8699145833856494,0.27534086207381264,-0.041748142614254635,0.08248384599196251,1,0.6127603394572076,0.9591113094228255,0.8159407719353867,1.1274035267055047,0,measured,True,"RIF,INH,EMB",371,
screen_sex,-0.019723778721596516,0.9804694624345234,0.2408020085165792,-0.04022487000075222,0.49109400512050505,1,0.9347193185772832,0.9605734107204855,0.3668686367327921,2.515072658160293,0,measured,True,"RIF,INH,EMB",371,
HIV_Low_CD4,0.44520592774604384,1.5608115771509474,0.1653310419675325,1.505638194288286,0.5591316646390014,1,0.00708515478710459,4.507029072856813,1.5064565974438204,13.484166153903459,0,predicted,True,RIF,373,1.0
TTP_baseline,0.12614004287616676,1.1344410275435504,0.26547681455910416,0.35051666144671606,0.7377042579739603,1,0.6346834599802645,1.4198009155207965,0.3344201590246142,6.027850251591204,0,predicted,True,RIF,373,
RIF_AUC,-0.5636761797157852,0.5691130516940154,0.335735834334122,-0.056985175447223924,0.033941411952331746,1,0.09316614249282554,0.9446080726549526,0.8838135804224746,1.0095844086242491,0,predicted,True,RIF,373,
smear_pos_no_contam_sputum_specimen_1,0.22838456507737098,1.256568464876028,0.2842762005728938,0.5216955525945483,0.6493680056579666,1,0.4217495395070757,1.6848820352410019,0.47187443741736057,6.0160653927667465,0,predicted,True,RIF,373,
HIV_High_CD4,0.17646872441506875,1.192997114493542,0.20095763590653665,0.4733883796670246,0.5390814149013476,1,0.3798683258048652,1.6054247762518201,0.5581141440591033,4.61803152569856,0,predicted,True,RIF,373,
fstrom1_baseline,0.057501624004170984,1.0591869907774263,0.2070175998930003,0.12266284711415187,0.44161132220842675,1,0.7811950580319129,1.130503204269169,0.4757420708485367,2.6864083989531173,0,predicted,True,RIF,373,
F2,0.059261295205710114,1.0610524524403673,0.17854977251453594,0.10707249790828434,0.322601287699247,1,0.7399621241349432,1.1130149428096656,0.591428544145739,2.094593294794272,0,predicted,True,RIF,373,
RIF_pred_MIC_high,0.9612322001367689,2.6149165896812856,0.34686853905595844,1.9913055836178142,0.7185789848750433,1,0.005585500434948916,7.325091040900814,1.7912552896678158,29.954947832944526,0,predicted,True,RIF,373,1.0
high_lung_involvement,0.11439605899945605,1.1211960967630985,0.23085133335510058,0.2289208392578342,0.4619624263078063,1,0.6202190267184793,1.2572425108202894,0.5083887447335715,3.109153669092482,0,predicted,True,RIF,373,
screen_years,-0.14111229130511435,0.8683917933747118,0.2253140563059236,-0.0110616309113507,0.01766211084055359,1,0.531123722694175,0.9889993239673766,0.9553488358559693,1.0238350915365446,0,predicted,True,RIF,373,
bl_bmi,-0.1217771016073702,0.8853456886415592,0.27856662557221695,-0.036537572818030536,0.08358014956977693,1,0.6619981394037946,0.9641218684402599,0.8184428922791893,1.13573101553389,0,predicted,True,RIF,373,
Lineage_2,0.8541690443912977,2.349421304417379,0.3676355522267796,1.706101737622405,0.7343085757841488,1,0.02015700223387389,5.507450090864842,1.3058881389590011,23.227109274111754,0,predicted,True,RIF,373,1.0
diabetes,0.3101560072147246,1.3636378348792733,0.1774107339534269,1.445292183534497,0.8267141086856017,1,0.08042299919584107,4.243091723256015,0.8394253780328517,21.447799700974848,0,predicted,True,RIF,373,
